"epsilon","switch_rate","res_time","variable","panel","value","epsilon_fac","exp_res_fac"
0,0,Inf,"hit","metric",0.306805922977836,"0","Inf"
0.25,0,Inf,"hit","metric",0.288244179928648,"0.25","Inf"
0.5,0,Inf,"hit","metric",0.26172654327156,"0.5","Inf"
0.75,0,Inf,"hit","metric",0.262669231623502,"0.75","Inf"
1,0,Inf,"hit","metric",0.34254378690388,"1","Inf"
0,0.02,50,"hit","metric",0.333476663185619,"0","50"
0.25,0.02,50,"hit","metric",0.319237059989873,"0.25","50"
0.5,0.02,50,"hit","metric",0.296292145831447,"0.5","50"
0.75,0.02,50,"hit","metric",0.26974700536601,"0.75","50"
1,0.02,50,"hit","metric",0.326508866775668,"1","50"
0,0.05,20,"hit","metric",0.363062554645116,"0","20"
0.25,0.05,20,"hit","metric",0.355472883256345,"0.25","20"
0.5,0.05,20,"hit","metric",0.342405579467878,"0.5","20"
0.75,0.05,20,"hit","metric",0.32004081597538,"0.75","20"
1,0.05,20,"hit","metric",0.313634210541916,"1","20"
0,0.2,5,"hit","metric",0.380154355672024,"0","5"
0.25,0.2,5,"hit","metric",0.389038267103626,"0.25","5"
0.5,0.2,5,"hit","metric",0.398539288291526,"0.5","5"
0.75,0.2,5,"hit","metric",0.410725494679765,"0.75","5"
1,0.2,5,"hit","metric",0.427337697706792,"1","5"
0,0,Inf,"hit","diff",-0.193194077022164,"0","Inf"
0.25,0,Inf,"hit","diff",-0.211755820071352,"0.25","Inf"
0.5,0,Inf,"hit","diff",-0.23827345672844,"0.5","Inf"
0.75,0,Inf,"hit","diff",-0.237330768376498,"0.75","Inf"
1,0,Inf,"hit","diff",-0.15745621309612,"1","Inf"
0,0.02,50,"hit","diff",-0.166523336814381,"0","50"
0.25,0.02,50,"hit","diff",-0.180762940010127,"0.25","50"
0.5,0.02,50,"hit","diff",-0.203707854168553,"0.5","50"
0.75,0.02,50,"hit","diff",-0.23025299463399,"0.75","50"
1,0.02,50,"hit","diff",-0.173491133224332,"1","50"
0,0.05,20,"hit","diff",-0.136937445354884,"0","20"
0.25,0.05,20,"hit","diff",-0.144527116743655,"0.25","20"
0.5,0.05,20,"hit","diff",-0.157594420532122,"0.5","20"
0.75,0.05,20,"hit","diff",-0.179959184024621,"0.75","20"
1,0.05,20,"hit","diff",-0.186365789458084,"1","20"
0,0.2,5,"hit","diff",-0.119845644327976,"0","5"
0.25,0.2,5,"hit","diff",-0.110961732896374,"0.25","5"
0.5,0.2,5,"hit","diff",-0.101460711708474,"0.5","5"
0.75,0.2,5,"hit","diff",-0.0892745053202346,"0.75","5"
1,0.2,5,"hit","diff",-0.0726623022932078,"1","5"
0,0,Inf,"final_size","metric",0.530637136785151,"0","Inf"
0.25,0,Inf,"final_size","metric",0.51396730284027,"0.25","Inf"
0.5,0,Inf,"final_size","metric",0.489630422979969,"0.5","Inf"
0.75,0,Inf,"final_size","metric",0.451323100344624,"0.75","Inf"
1,0,Inf,"final_size","metric",0.361555183685089,"1","Inf"
0,0.02,50,"final_size","metric",0.59455666034315,"0","50"
0.25,0.02,50,"final_size","metric",0.586019608126989,"0.25","50"
0.5,0.02,50,"final_size","metric",0.573908603726222,"0.5","50"
0.75,0.02,50,"final_size","metric",0.592519849479266,"0.75","50"
1,0.02,50,"final_size","metric",0.632976907811317,"1","50"
0,0.05,20,"final_size","metric",0.626948240855577,"0","20"
0.25,0.05,20,"final_size","metric",0.627118667334736,"0.25","20"
0.5,0.05,20,"final_size","metric",0.62434375949247,"0.5","20"
0.75,0.05,20,"final_size","metric",0.617642839202322,"0.75","20"
1,0.05,20,"final_size","metric",0.610792417305233,"1","20"
0,0.2,5,"final_size","metric",0.583209474237696,"0","5"
0.25,0.2,5,"final_size","metric",0.587600880157958,"0.25","5"
0.5,0.2,5,"final_size","metric",0.592249729717614,"0.5","5"
0.75,0.2,5,"final_size","metric",0.597074338658394,"0.75","5"
1,0.2,5,"final_size","metric",0.601867193021,"1","5"
0,0,Inf,"final_size","diff",-0.266507181772818,"0","Inf"
0.25,0,Inf,"final_size","diff",-0.2831770157177,"0.25","Inf"
0.5,0,Inf,"final_size","diff",-0.307513895578001,"0.5","Inf"
0.75,0,Inf,"final_size","diff",-0.345821218213345,"0.75","Inf"
1,0,Inf,"final_size","diff",-0.435589134872881,"1","Inf"
0,0.02,50,"final_size","diff",-0.20258765821482,"0","50"
0.25,0.02,50,"final_size","diff",-0.21112471043098,"0.25","50"
0.5,0.02,50,"final_size","diff",-0.223235714831748,"0.5","50"
0.75,0.02,50,"final_size","diff",-0.204624469078704,"0.75","50"
1,0.02,50,"final_size","diff",-0.164167410746653,"1","50"
0,0.05,20,"final_size","diff",-0.170196077702393,"0","20"
0.25,0.05,20,"final_size","diff",-0.170025651223233,"0.25","20"
0.5,0.05,20,"final_size","diff",-0.1728005590655,"0.5","20"
0.75,0.05,20,"final_size","diff",-0.179501479355647,"0.75","20"
1,0.05,20,"final_size","diff",-0.186351901252737,"1","20"
0,0.2,5,"final_size","diff",-0.213934844320274,"0","5"
0.25,0.2,5,"final_size","diff",-0.209543438400012,"0.25","5"
0.5,0.2,5,"final_size","diff",-0.204894588840356,"0.5","5"
0.75,0.2,5,"final_size","diff",-0.200069979899575,"0.75","5"
1,0.2,5,"final_size","diff",-0.19527712553697,"1","5"
0,0,Inf,"r0","metric",2,"0","Inf"
0.25,0,Inf,"r0","metric",2.13488722526657,"0.25","Inf"
0.5,0,Inf,"r0","metric",2.33154890689794,"0.5","Inf"
0.75,0,Inf,"r0","metric",2.61405476113796,"0.75","Inf"
1,0,Inf,"r0","metric",2.98891769218225,"1","Inf"
0,0.02,50,"r0","metric",1.94073769112975,"0","50"
0.25,0.02,50,"r0","metric",2.0547045012626,"0.25","50"
0.5,0.02,50,"r0","metric",2.21890170499072,"0.5","50"
0.75,0.02,50,"r0","metric",2.4550014675612,"0.75","50"
1,0.02,50,"r0","metric",2.77400081692358,"1","50"
0,0.05,20,"r0","metric",1.86962292048545,"0","20"
0.25,0.05,20,"r0","metric",1.96021872103441,"0.25","20"
0.5,0.05,20,"r0","metric",2.0883391569648,"0.5","20"
0.75,0.05,20,"r0","metric",2.2716965176311,"0.75","20"
1,0.05,20,"r0","metric",2.52424149335904,"1","20"
0,0.2,5,"r0","metric",1.67405730121363,"0","5"
0.25,0.2,5,"r0","metric",1.71195802449917,"0.25","5"
0.5,0.2,5,"r0","metric",1.76131619002916,"0.5","5"
0.75,0.2,5,"r0","metric",1.82749429070332,"0.75","5"
1,0.2,5,"r0","metric",1.91806770941881,"1","5"
0,0,Inf,"r0","diff",0,"0","Inf"
0.25,0,Inf,"r0","diff",0.134887225266566,"0.25","Inf"
0.5,0,Inf,"r0","diff",0.331548906897939,"0.5","Inf"
0.75,0,Inf,"r0","diff",0.614054761137965,"0.75","Inf"
1,0,Inf,"r0","diff",0.988917692182251,"1","Inf"
0,0.02,50,"r0","diff",-0.0592623088702493,"0","50"
0.25,0.02,50,"r0","diff",0.0547045012626031,"0.25","50"
0.5,0.02,50,"r0","diff",0.218901704990722,"0.5","50"
0.75,0.02,50,"r0","diff",0.455001467561202,"0.75","50"
1,0.02,50,"r0","diff",0.774000816923581,"1","50"
0,0.05,20,"r0","diff",-0.130377079514547,"0","20"
0.25,0.05,20,"r0","diff",-0.0397812789655887,"0.25","20"
0.5,0.05,20,"r0","diff",0.0883391569647962,"0.5","20"
0.75,0.05,20,"r0","diff",0.271696517631097,"0.75","20"
1,0.05,20,"r0","diff",0.524241493359044,"1","20"
0,0.2,5,"r0","diff",-0.325942698786369,"0","5"
0.25,0.2,5,"r0","diff",-0.288041975500831,"0.25","5"
0.5,0.2,5,"r0","diff",-0.238683809970844,"0.5","5"
0.75,0.2,5,"r0","diff",-0.17250570929668,"0.75","5"
1,0.2,5,"r0","diff",-0.0819322905811894,"1","5"
